isHome,shotType,situation,bodyPart,goalMouthLocation,xg,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,incidentType,player.name,player.firstName,player.lastName,player.slug,player.shortName,player.position,player.userCount,player.id,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,draw.start.x,draw.start.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.block.x,draw.block.y,xgot,goalType,color
True,block,assisted,right-foot,low-left,0.048168450593948,2279043,82,,4911,9,489,shot,Scott Arfield,,,scott-arfield,S. Arfield,M,228,17056,20.2,39.2,0,0,52.5,19.0,39.2,20.2,47.5,0,47.5,81.0,17.2,40.4,0.0,40.4,17.2,,,#ea6969
True,save,assisted,left-foot,low-right,0.18812312185764,2279016,71,,4259,20,1141,shot,Karol Świderski,,,karol-swiderski,K. Świderski,F,3298,576438,13.1,54.6,0,0,47.0,10.1,54.6,13.1,53.0,0,53.0,89.9,11.0,54.0,0.0,54.0,11.0,0.5382,,#ea6969
True,save,regular,right-foot,low-left,0.04532628506422,2279006,69,,4112,22,1288,shot,Justin Meram,,,justin-meram,J. Meram,M,276,149138,15.2,26.4,0,0,53.6,3.2,26.4,15.2,46.4,0,46.4,96.8,1.2,48.2,0.0,48.2,1.2,0.1758,,#ea6969
True,miss,corner,right-foot,high,0.03344651311636,2278996,67,,3962,24,1438,shot,Brandt Bronico,,,brandt-bronico,B. Bronico,M,31,873709,18.2,62.7,0,0,50.4,80.6,62.7,18.2,49.6,0,49.6,19.4,,,,,,,,#ea6969
True,block,assisted,right-foot,low-right,0.027975404635072,2278971,59,,3520,32,1880,shot,Kerwin Calderón Vargas,Kerwin Calderón Vargas,,kerwin-calderon-vargas,K. C. Vargas,F,161,1131136,14.8,27.6,0,0,46.3,19.0,27.6,14.8,53.7,0,53.7,81.0,12.5,31.6,0.0,31.6,12.5,,,#ea6969
True,save,regular,right-foot,low-left,0.020988883450627,2278858,45,1.0,2717,1,2683,shot,Andrew Privett,Andrew Privett,,privett-andrew,A. Privett,D,10,1470300,26.2,67.4,0,0,54.2,7.6,67.4,26.2,45.8,0,45.8,92.4,2.5,50.9,0.0,50.9,2.5,0.3966,,#ea6969
True,miss,assisted,head,left,0.052318155765533,2278849,42,,2510,4,190,shot,Enzo Copetti,,,enzo-copetti,E. Copetti,F,462,860045,5.6,39.9,0,0,60.3,4.2,39.9,5.6,39.7,0,39.7,95.8,2.5,41.3,0.0,41.3,2.5,,,#ea6969
True,block,assisted,right-foot,low-right,0.063116751611233,2278793,26,,1530,20,1170,shot,Kerwin Calderón Vargas,Kerwin Calderón Vargas,,kerwin-calderon-vargas,K. C. Vargas,F,161,1131136,11.6,33.6,0,0,48.2,19.0,33.6,11.6,51.8,0,51.8,81.0,9.6,36.8,0.0,36.8,9.6,,,#ea6969
True,miss,corner,right-foot,left,0.016288222745061,2278774,20,,1177,26,1523,shot,Jere Uronen,,,jere-uronen,J. Uronen,D,213,138463,26.8,48.2,0,0,60.7,30.6,48.2,26.8,39.3,0,39.3,69.4,,,,,,,,#ea6969
True,block,free-kick,left-foot,low-left,0.048951629549265,2278770,20,,1140,26,1560,shot,Karol Świderski,,,karol-swiderski,K. Świderski,F,3298,576438,27.5,49.3,0,0,52.8,19.0,49.3,27.5,47.2,0,47.2,81.0,15.7,48.4,0.0,48.4,15.7,,,#ea6969
