Team,Rank,Assists,Team Games,Per Game,Corners,Fouls,Goals,GA,Diff,PS,psatt,Pct.,Points,Saves,SoG,ShAtt,Shutouts,Won,Loss,Tied,Team Min,GAA
Air Force,2883.0,24.0,255.0,33.959,55.0,178.0,68.0,108.0,-19.0,4.0,5.0,1.8860000000000001,46.0,102.0,120.0,314.0,1.0,1.0,14.0,2.0,1530.0,2.118
Akron,772.0,72.0,270.0,58.266,150.0,204.0,124.0,36.0,19.0,3.0,5.0,2.504,98.0,86.0,286.0,668.0,10.0,9.0,2.0,7.0,1620.0,0.667
American,1404.0,52.0,240.0,40.508,80.0,143.0,120.0,69.0,7.0,1.0,1.0,2.64,86.0,112.0,128.0,320.0,3.0,6.0,5.0,5.0,1460.0,1.418
Army West Point,2611.0,16.0,240.0,40.001999999999995,62.0,203.0,56.0,81.0,-13.0,2.0,3.0,2.043,36.0,122.0,138.0,372.0,1.0,3.0,9.0,4.0,1440.0,1.688
Belmont,1146.0,64.0,270.0,42.457,91.0,154.0,104.0,78.0,0.0,0.0,0.0,1.7610000000000001,84.0,154.0,194.0,400.0,3.0,8.0,7.0,3.0,1620.0,1.444
Binghamton,2401.0,28.0,270.0,37.567,81.0,212.0,76.0,102.0,-15.0,0.0,0.0,1.393,52.0,116.0,136.0,338.0,3.0,5.0,10.0,3.0,1620.0,1.889
Boston College,2092.0,20.0,255.0,32.484,96.0,138.0,48.0,72.0,-12.0,1.0,1.0,2.316,34.0,102.0,98.0,314.0,5.0,3.0,9.0,5.0,1530.0,1.412
Boston U.,1403.0,58.0,300.0,40.35,70.0,235.0,124.0,54.0,13.0,0.0,0.0,1.83,91.0,100.0,166.0,420.0,8.0,12.0,4.0,4.0,1800.0,0.9
Bowling Green,1512.0,50.0,270.0,48.951,81.0,250.0,108.0,90.0,-3.0,2.0,3.0,2.283,79.0,172.0,190.0,472.0,2.0,7.0,8.0,3.0,1620.0,1.667
Bradley,1534.0,26.0,255.0,37.455,86.0,192.0,68.0,69.0,-6.0,1.0,1.0,2.588,47.0,102.0,136.0,318.0,4.0,5.0,6.0,6.0,1530.0,1.353
Brown,1695.0,42.0,270.0,41.778999999999996,87.0,220.0,76.0,60.0,-1.0,1.0,3.0,1.964,59.0,112.0,160.0,406.0,7.0,5.0,5.0,8.0,1640.0,1.098
Bryant,617.0,76.0,300.0,44.9,92.0,197.0,180.0,18.0,39.0,0.0,1.0,2.218,128.0,84.0,226.0,458.0,14.0,16.0,2.0,2.0,1820.0,0.297
Bucknell,2079.0,26.0,240.0,33.988,73.0,178.0,52.0,75.0,-12.0,3.0,3.0,2.312,39.0,78.0,116.0,256.0,3.0,2.0,10.0,4.0,1440.0,1.562
Butler,1585.0,28.0,225.0,42.753,73.0,184.0,52.0,75.0,-12.0,0.0,0.0,1.491,40.0,182.0,122.0,326.0,2.0,2.0,7.0,6.0,1350.0,1.667
CSU Bakersfield,1473.0,32.0,255.0,46.603,85.0,242.0,80.0,42.0,6.0,3.0,4.0,2.5570000000000004,56.0,110.0,194.0,430.0,6.0,7.0,5.0,5.0,1530.0,0.824
CSUN,1676.0,36.0,270.0,42.267,80.0,234.0,88.0,81.0,-5.0,2.0,3.0,2.313,62.0,144.0,174.0,366.0,3.0,4.0,6.0,8.0,1620.0,1.5
